text,stress_level
"I have 3 exams tomorrow and haven't started studying yet",2
"Feeling relaxed and happy today, got enough sleep",0
"Work deadlines are piling up and I can't keep up",2
"Had a great day, everything went smoothly",0
"I'm so exhausted, can't concentrate on anything",2
"Enjoying a peaceful weekend with family",0
"Too many assignments, feeling overwhelmed and anxious",2
"Completed all my tasks on time, feeling accomplished",0
"I feel burnt out, no motivation to do anything",2
"Well-rested and ready for the day",0
"Constant pressure at work, losing sleep over it",2
"Had a productive day, feeling energized",0
"My mind is racing, can't stop worrying about deadlines",2
"Took a nice walk, feeling refreshed",0
"Feeling depressed and hopeless about the future",2
"Excited about upcoming projects",0
"Workload is manageable, feeling in control",1
"Bit tired but nothing serious",1
"Some stress but handling it okay",1
"Moderate pressure but coping fine",1
"A little anxious about the presentation",1
"Slightly overwhelmed but getting through it",1
"Feeling okay, just a bit busy",1
"Somewhat tired from the week",1
"Minor stress from daily tasks",1
"Balanced workload, doing well",1
"I can't sleep, too stressed about tomorrow's meeting",2
"Having dinner with friends, feeling great",0
"Missed my deadline, feeling like a failure",2
"Completed my workout, feeling strong",0
"No one understands how stressed I am",2
"Grateful for the support I'm receiving",0
"Everything is going wrong, I want to give up",2
"Looking forward to the weekend",0
"I'm on the verge of a breakdown",2
"Feeling content and peaceful",0
"Too much on my plate, can't breathe",2
"Nice weather today, went for a jog",0
"I feel trapped and suffocated by responsibilities",2
"Meditation helped me feel centered",0
"Lost all interest in things I used to enjoy",2
"Discovered a new hobby, feeling inspired",0
"My health is deteriorating due to stress",2
"Eating healthy and feeling good",0
"I hate my life right now",2
"Life is beautiful, enjoying every moment",0
"Panic attacks are becoming frequent",2
"Calm and collected today",0
"I can't handle this anymore",2
"Everything is under control",0
"Severe headaches from all the stress",2
"Slept well, woke up refreshed",0
"Feel like I'm drowning in work",2
"Organized my schedule, feeling prepared",0
"Constant fatigue, no energy left",2
"Full of energy and enthusiasm",0
"I'm falling behind on everything",2
"Caught up with all my tasks",0
"My relationships are suffering because of stress",2
"Quality time with loved ones",0
"Can't focus, mind is all over the place",2
"Focused and productive today",0
"I need a break desperately",2
"Just came back from vacation, feeling rejuvenated",0
"Work-life balance is non-existent",2
"Maintaining good work-life balance",0
"I'm irritable and snapping at everyone",2
"Patient and understanding with others",0
"Physical symptoms of stress are showing",2
"Healthy and fit",0
"I feel isolated and alone",2
"Surrounded by supportive people",0
"Dreading going to work tomorrow",2
"Excited for Monday morning",0
"My performance is declining",2
"Exceeding expectations at work",0
"I can't remember the last time I was happy",2
"Happiness comes naturally these days",0
"Everything feels meaningless",2
"Finding purpose in daily activities",0
"I'm stuck in a rut",2
"Making progress every day",0
"Chronic stress is taking a toll",2
"Stress-free and thriving",0
"I need professional help",2
"Managing well on my own",0
"Anxiety keeps me up at night",2
"Sleeping soundly every night",0
"I feel numb and disconnected",2
"Connected and engaged with life",0
"My appetite has changed drastically",2
"Eating regularly and healthily",0
"I avoid social situations now",2
"Enjoying social gatherings",0
"I feel guilty for not doing enough",2
"Satisfied with my efforts",0
"Procrastinating due to stress",1
"Getting things done efficiently",0
"Moderate workload this week",1
"Light workload, easy going",0
"A bit concerned about finances",1
"Financial situation is stable",0
"Somewhat distracted lately",1
"Highly focused and attentive",0
"Feeling a bit down today",1
"Feeling upbeat and positive",0
"Minor issues at work",1
"Everything smooth at work",0
"A little uncertain about the future",1
"Confident about what's ahead",0
"Slightly fatigued",1
"Energetic and lively",0
"Some difficulty concentrating",1
"Concentrating easily",0
"A bit restless",1
"Calm and relaxed",0
"Mildly stressed about exams",1
"Exams went well, relieved",0
